gate_name,file_function,input_fields,output_fields,scope,block_type,current_owner,still_needed,overlaps_with,recent_false_block_history
"loaded_in_runtime","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","runtime_running; runtime lane ids; row.runtime_instance_present","lane_status_rows.loaded_in_runtime; runtime_presence","paper","hard_block","probationary runtime + dashboard snapshot","yes","configured lane inventory","yes: snapshot-only vs loaded lane confusion has misled operators"
"session_eligibility","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","allowed_sessions; broad trading session; allowed_session_match; eligibility_reason","lane_status_rows.session_eligible; tradability_status","paper","hard_block","lane fireability logic","yes","fine-grained phase label; no_new_completed_bar","yes: wrong_session plus UNCLASSIFIED phase gaps have suppressed expected availability"
"waiting_for_next_decision_bar","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","session_eligible; eligibility_reason=no_new_completed_bar; decision_bar_seconds","lane_status_rows.waiting_for_completed_bar; next_expected_decision_bar_ts","paper","advisory","lane fireability logic","yes","eligible_to_trade; actionable_now","yes: was previously interpreted like not-ready/broken instead of normal 3m cadence"
"setup_evaluated","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","signal_intent_fill_audit rows; audit_verdict","lane_status_rows.setup_evaluated","paper","advisory","signal-intent-fill audit","yes","no_setup_present; actionable_now","no direct false block, but it is commonly confused with unavailable"
"no_setup_present","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","signal_intent_fill_audit.audit_verdict=NO_SETUP_OBSERVED","lane_status_rows.no_setup_present; tradability_status=SESSION_ELIGIBLE_NO_SETUP","paper","advisory","signal-intent-fill audit","yes","actionable_now; session_eligible","yes: often misread as system blockage instead of quiet strategy state"
"governance_allowed","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload + src/mgc_v05l/execution/ibkr_paper_strategy_governance.py:_strategy_governance_status","halted_by_risk; reconciling; faulted; entries_enabled; operator_halt; strategy_status","lane_status_rows.governance_allowed; governance report submit_allowed","paper","hard_block","per-strategy governance","yes","exposure gate; runtime blocking faults","yes: KILL_CANDIDATE / PAUSED / DISABLED semantics have been hard to distinguish from advisory statuses"
"route_ready","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","current_routing_mode; ibkr_bridge_submit_capable; local_paper_trading_enabled; local_trading_allowed","lane_status_rows.route_ready","paper","hard_block","routing adapter layer","yes","submit-capable inventory; PaperBroker fallback","yes: route-ready has been confused with actionable-now"
"eligible_to_trade","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","loaded_in_runtime; eligible_now; governance_allowed; route_ready; session_eligible; runtime_stale_effective","lane_status_summary.eligible_to_trade_count; tradability_status=ELIGIBLE_TO_TRADE","paper","hard_block","lane fireability logic","yes","session_eligible; waiting_for_next_decision_bar; actionable_now","yes: its name overlaps with broader operator notion of open-to-trade"
"actionable_now","src/mgc_v05l/app/operator_dashboard.py:_paper_readiness_payload","intent_action in BUY/SELL/EXIT; session_eligible; eligible_now; governance_allowed; route_ready; data_fresh","lane_status_rows.actionable_now; lane_status_summary.actionable_now_count","paper","hard_block_for_submit","lane fireability + route audit","yes","eligible_to_trade; no_setup_present","yes: zero actionable at a moment has been mistaken for strategies being unavailable"
"heartbeat_reconciliation","src/mgc_v05l/app/probationary_runtime.py:_build_reconciliation_heartbeat_status / _run_reconciliation_heartbeat","broker vs ledger state; cadence_seconds; reconciliation status","row.heartbeat_reconciliation.*","paper","hard_block_when_active_issue","probationary runtime","yes","startup reconciliation; governance reconciliation error count","yes: reconciliation issues can freeze lanes despite healthy monitor"
"startup_restore_validation","src/mgc_v05l/app/probationary_runtime.py startup restore validation paths","persisted broker snapshot; pending orders; duplicate-action prevention","row.startup_restore_validation.*","paper","hard_block_when_unresolved","probationary runtime","yes","runtime_recovery_state; heartbeat_reconciliation","yes: unresolved restore issues can look like generic runtime failure"
"bridge_caller_path_policy","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_caller_path_check","config.caller_path; call stack modules","preflight_checks.approved_caller_path","paper","hard_block","IBKR paper bridge","yes","runtime caller metadata","yes: midday families were blocked as non-manual caller path until fixed"
"bridge_runtime_caller_metadata","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_runtime_caller_metadata_check","caller_type; paper_only; mode; host; port; account_id; strategy_id; lane_id; source_instrument; executable_proxy; route_destination; bridge_proxy_mode; intent_action; intent_type","preflight_checks.approved_runtime_caller_metadata","paper","hard_block","IBKR paper bridge","yes","bridge environment lock; route-aware broker wrapper","yes: approved runtime callers were previously rejected before real preflight"
"bridge_environment_lock","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_build_preflight_checks","mode; host; port; account_id; paper_only","preflight_checks.mode_match; host_match; port_match; account_match; paper_only_intent","paper","hard_block","IBKR paper bridge","yes","runtime caller metadata","no: this is a desired hard lock"
"bridge_monitor_health_contract","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_build_submit_checks","monitor status; health classification; exact contract; account match; submit_allowed","preflight_checks.paper_strategy_monitor_*","paper","hard_block","IBKR paper monitor","yes","quote readiness; governance gate","yes: monitor file staleness and contract mismatch have produced safe fail-closed blocks"
"bridge_governance_submit_gate","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_build_submit_checks","governance selected_strategy; strategy_status; submit_allowed; block_reasons","preflight_checks.paper_strategy_governance_*","paper","hard_block","per-strategy governance","yes","lane governance_allowed; exposure gate","yes: midday family routing could reach here only after caller-policy fix"
"bridge_exposure_gate","src/mgc_v05l/execution/ibkr_paper_strategy_bridge.py:_build_submit_checks + src/mgc_v05l/execution/ibkr_paper_strategy_exposure.py:evaluate_paper_strategy_exposure_gate","allow_stacking; per-strategy qty; aggregate caps; attributed exposure; orphan quantity","preflight_checks.paper_strategy_exposure_gate","paper","hard_block","exposure attribution","yes","governance; reconciliation","yes: ownership and cap logic is intentionally strict but layered"
"local_paper_fill_path","src/mgc_v05l/execution/paper_broker.py:submit_order/fill_order","order_intent","paper-* broker_order_id; local fill event; local position/open orders","paper/local_only","hard_block_candidate_for_submit_capable_lanes","legacy deterministic paper broker","partially","route-aware broker wrapper; replay fill path","yes: submit-capable lanes silently created local paper fills until route-miss fix"
"live_trade_authority","desktop/src/main/shared/operatorTriage.ts:buildOperatorTriageContract","production link health; operator auth; reconciliation; market data; runtime posture","live_trade_authority; live_bridge_allowed","live","hard_block","desktop triage","yes","paper_trade_authority before split","yes: live authority incorrectly blocked paper before separation fix"
